promotion_id,platform_metric_id,module,canonical_table,canonical_field,decision,match_basis,confidence,definition_sha256,reason
promo_a1a5e20667935a2714964f14,1774,商品数据,sku_performance,refund_amount_pay,proposed,exact_existing_alias,high,5d3109793e7d162b925ac8fed52fb5f14d0cfc2034fc14d7e8ffdcbae135267c,exact_table_scoped_alias_requires_human_approval
promo_931ff90b23f294609287cb84,1774,数据总览,business_overview_daily,refund_amount_pay,proposed,exact_existing_alias,high,5d3109793e7d162b925ac8fed52fb5f14d0cfc2034fc14d7e8ffdcbae135267c,exact_table_scoped_alias_requires_human_approval
promo_a70581bcf40120fd392cc295,1775,交易数据/成交分析,business_overview_daily,net_gmv_pay,proposed,exact_existing_alias,high,f5877c81f756e80b835a27a94a481d3a4b9e1ac5dc9d21c22a7c85274ef11431,exact_table_scoped_alias_requires_human_approval
promo_27be4e716f854ba211f70720,1775,商品数据,sku_performance,net_gmv_pay,proposed,exact_existing_alias,high,f5877c81f756e80b835a27a94a481d3a4b9e1ac5dc9d21c22a7c85274ef11431,exact_table_scoped_alias_requires_human_approval
promo_3d084b56f02f5fe7053c3009,1775,数据总览,business_overview_daily,net_gmv_pay,proposed,exact_existing_alias,high,f5877c81f756e80b835a27a94a481d3a4b9e1ac5dc9d21c22a7c85274ef11431,exact_table_scoped_alias_requires_human_approval
promo_4685f4b21eb16666b7340fcc,1776,交易数据/成交分析,business_overview_daily,refund_rate_pay,proposed,exact_existing_alias,high,f4f0d8ddb998c7e2e34c027f49ef6bc638ff2cc007d5acc07c99bcbe5b4b3c27,exact_table_scoped_alias_requires_human_approval
promo_57c6fc4d8d5b9ccaae321ec6,1776,商品数据,sku_performance,refund_rate_pay,proposed,exact_existing_alias,high,f4f0d8ddb998c7e2e34c027f49ef6bc638ff2cc007d5acc07c99bcbe5b4b3c27,exact_table_scoped_alias_requires_human_approval
promo_3d39e78ba276309c43c2ba6e,1776,数据总览,business_overview_daily,refund_rate_pay,proposed,exact_existing_alias,high,f4f0d8ddb998c7e2e34c027f49ef6bc638ff2cc007d5acc07c99bcbe5b4b3c27,exact_table_scoped_alias_requires_human_approval
promo_01afae95c7281a4514f9b9df,1777,交易数据/成交分析,business_overview_daily,refund_orders_pay,proposed,exact_existing_alias,high,41b93d84ae8604bc6a5423892651405e09b1d01d565b87d40bc90522699e23e4,exact_table_scoped_alias_requires_human_approval
promo_88d55075ced548efb4cd1696,1777,商品数据,sku_performance,refund_orders_pay,proposed,exact_existing_alias,high,41b93d84ae8604bc6a5423892651405e09b1d01d565b87d40bc90522699e23e4,exact_table_scoped_alias_requires_human_approval
promo_8eeee24591b7cd528958cd91,1777,数据总览,business_overview_daily,refund_orders_pay,proposed,exact_existing_alias,high,41b93d84ae8604bc6a5423892651405e09b1d01d565b87d40bc90522699e23e4,exact_table_scoped_alias_requires_human_approval
promo_d775950e5329f01ca3853377,1794,交易数据/买手分析,,,deferred,,,ba133bf6f5ced53c9074eab54a993b3407e3ba835ae3c08b266214d837d1c826,module_outside_current_skill_scope
promo_de74c452b7b00b4642b63675,1795,交易数据/买手分析,,,deferred,,,b40ecc7fb57e642cc8858380db906b213f79abe339bbcf5331da5a0766426784,module_outside_current_skill_scope
promo_dba32177ae05e263c572d0ea,1796,交易数据/买手分析,,,deferred,,,6425d33d6fc1499aa5c3175c8731246d05092d81f8bdfbbeb3bb995f04d3855c,module_outside_current_skill_scope
promo_d00d22536bc970285455e393,1799,交易数据/买手分析,,,deferred,,,25abc8e7f236489f739ae3d8d9acd5289cceb4bd4909b24da4674061e8e45425,module_outside_current_skill_scope
